AZ,A,Z,AX,ME
12861,128,61,128pm,-48050
12862,128,62,128sm,-39050
12947,129,47,129ag,-52450
12947.1,129,47.1,129agm,-52450
12948,129,48,129cd,-63200
12948.1,129,48.1,129cdm,-63200
12949,129,49,129in,-72940
12949.1,129,49.1,129inm,-72560
12949.2,129,49.2,129inn,-71250
12950,129,50,129sn,-80594
12950.1,129,50.1,129snm,-80559
12951,129,51,129sb,-84628
12951.1,129,51.1,129sbm,-82777
12951.2,129,51.2,129sbn,-82767
12951.3,129,51.3,129sbp,-82489
12952,129,52,129te,-87003.2
12952.1,129,52.1,129tem,-86897.7
12953,129,53,129i,-88503
12954,129,54,129xe,-88697.4
12954.1,129,54.1,129xem,-88461.3
12955,129,55,129cs,-87500
12956,129,56,129ba,-85065
12956.1,129,56.1,129bam,-85057
12957,129,57,129la,-81326
12957.1,129,57.1,129lam,-81154
12958,129,58,129ce,-76287
12958.1,129,58.1,129cem,-76179
12959,129,59,129pr,-69774
12959.1,129,59.1,129prm,-69390
12960,129,60,129nd,-62240
12961,129,61,129pm,-52950
12962,129,62,129sm,-42250
13047,130,47,130ag,-46160
13048,130,48,130cd,-61570
13049,130,49,130in,-69890
13049.1,130,49.1,130inm,-69840
13049.2,130,49.2,130inn,-69490
13050,130,50,130sn,-80139
13050.1,130,50.1,130snm,-78192
13051,130,51,130sb,-82292
13051.1,130,51.1,130sbm,-82287
13052,130,52,130te,-87351.4
13052.1,130,52.1,130tem,-85205
13052.2,130,52.2,130ten,-84690
13052.3,130,52.3,130tep,-82976
13053,130,53,130i,-86932
13053.1,130,53.1,130im,-86892
13054,130,54,130xe,-89881.7
13055,130,55,130cs,-86900
13055.1,130,55.1,130csm,-86737
13055.6,130,55.6,130csx,-86873
13056,130,56,130ba,-87261.6
13056.1,130,56.1,130bam,-84786.5
13057,130,57,130la,-81628
13058,130,58,130ce,-79423
13058.1,130,58.1,130cem,-76969
13059,130,59,130pr,-71180
13059.1,130,59.1,130prm,-71080
13060,130,60,130nd,-66596
13061,130,61,130pm,-55470
13062,130,62,130sm,-47580
13063,130,63,130eu,-33940
13148,131,48,131cd,-55270
13149,131,49,131in,-68137
13149.1,131,49.1,131inm,-67790
13149.2,131,49.2,131inn,-64040
13150,131,50,131sn,-77314
13150.1,131,50.1,131snm,-77230
13151,131,51,131sb,-81988
13152,131,52,131te,-85209.5
13152.1,131,52.1,131tem,-85027.3
13153,131,53,131i,-87444.4
13154,131,54,131xe,-88415.2
13154.1,131,54.1,131xem,-88251.3
13155,131,55,131cs,-88060
13156,131,56,131ba,-86683.8
13156.1,131,56.1,131bam,-86496.7
13157,131,57,131la,-83769
13157.1,131,57.1,131lam,-83464
13158,131,58,131ce,-79720
13158.1,131,58.1,131cem,-79660
13158.2,131,58.2,131cen,-79560
13159,131,59,131pr,-74280
13159.1,131,59.1,131prm,-74130
13160,131,60,131nd,-67769
13160.1,131,60.1,131ndm,-67412
13161,131,61,131pm,-59740
13162,131,62,131sm,-50200
13163,131,63,131eu,-39350
13248,132,48,132cd,-50720
13249,132,49,132in,-62420
13250,132,50,132sn,-76554
13251,132,51,132sb,-79674
13251.1,132,51.1,132sbm,-79470
13252,132,52,132te,-85182
13253,132,53,132i,-85700
13253.1,132,53.1,132im,-85595
13254,132,54,132xe,-89280.5
13254.1,132,54.1,132xem,-86528.2
13255,132,55,132cs,-87155.9
13256,132,56,132ba,-88434.8
13257,132,57,132la,-83740
13257.1,132,57.1,132lam,-83550
13258,132,58,132ce,-82474
13258.1,132,58.1,132cem,-80133
13259,132,59,132pr,-75210
13259.1,132,59.1,132prm,-75210
13260,132,60,132nd,-71426
13261,132,61,132pm,-61710
13262,132,62,132sm,-55250
13263,132,63,132eu,-42500
13349,133,49,133in,-57930
13349.1,133,49.1,133inm,-57600
13350,133,50,133sn,-70950
13351,133,51,133sb,-78943
13352,133,52,133te,-82945
13352.1,133,52.1,133tem,-82611
13353,133,53,133i,-85887
13353.1,133,53.1,133im,-84253
13354,133,54,133xe,-87643.6
13354.1,133,54.1,133xem,-87410.4
13355,133,55,133cs,-88070.958
13356,133,56,133ba,-87553.5
13356.1,133,56.1,133bam,-87265.3
13357,133,57,133la,-85494
13357.1,133,57.1,133lam,-84958
13358,133,58,133ce,-82423
13358.1,133,58.1,133cem,-82386
13359,133,59,133pr,-77938
13359.1,133,59.1,133prm,-77746
13360,133,60,133nd,-72330
13360.1,133,60.1,133ndm,-72200
13360.2,133,60.2,133ndn,-72150
13361,133,61,133pm,-65410
13361.1,133,61.1,133pmm,-65280
13362,133,62,133sm,-57130
13363,133,63,133eu,-47280
13449,134,49,134in,-52020
13450,134,50,134sn,-66800
13451,134,51,134sb,-74170
13451.1,134,51.1,134sbm,-74090
13452,134,52,134te,-82559
13452.1,134,52.1,134tem,-80868
13453,134,53,134i,-84072
13453.1,134,53.1,134im,-83756
13454,134,54,134xe,-88124.5
13454.1,134,54.1,134xem,-86159
13455,134,55,134cs,-86891.181
13455.1,134,55.1,134csm,-86752.437
13456,134,56,134ba,-88949.9
13457,134,57,134la,-85219
13458,134,58,134ce,-84836
13459,134,59,134pr,-78510
13459.1,134,59.1,134prm,-78510
13460,134,60,134nd,-75646
13460.1,134,60.1,134ndm,-73353
13461,134,61,134pm,-66740
13461.1,134,61.1,134pmm,-66740
13462,134,62,134sm,-61510
13463,134,63,134eu,-49830
13464,134,64,134gd,-41570
13549,135,49,135in,-47200
13550,135,50,135sn,-60800
13551,135,51,135sb,-69710
13552,135,52,135te,-77830
13552.1,135,52.1,135tem,-76280
13553,135,53,135i,-83790
13554,135,54,135xe,-86417
13554.1,135,54.1,135xem,-85890
13555,135,55,135cs,-87581.9
13555.1,135,55.1,135csm,-85949
13556,135,56,135ba,-87850.5
13556.1,135,56.1,135bam,-87582.3
13557,135,57,135la,-86651
13558,135,58,135ce,-84625
13558.1,135,58.1,135cem,-84179
13559,135,59,135pr,-80936
13559.1,135,59.1,135prm,-80578
13560,135,60,135nd,-76214
13560.1,135,60.1,135ndm,-76149
13561,135,61,135pm,-69980
13561.1,135,61.1,135pmm,-69930
13562,135,62,135sm,-62860
13562.1,135,62.1,135smm,-62860
13563,135,63,135eu,-54190
13564,135,64,135gd,-44180
13650,136,50,136sn,-56500
13651,136,51,136sb,-64880
13651.1,136,51.1,136sbm,-64710
13652,136,52,136te,-74430
13653,136,53,136i,-79500
13653.1,136,53.1,136im,-78850
13654,136,54,136xe,-86425
13654.1,136,54.1,136xem,-84533
13655,136,55,136cs,-86338.7
13655.1,136,55.1,136csm,-85821
13656,136,56,136ba,-88886.9
13656.1,136,56.1,136bam,-86856.4
13657,136,57,136la,-86040
13657.1,136,57.1,136lam,-85790
13658,136,58,136ce,-86468
13658.1,136,58.1,136cem,-83373
13659,136,59,136pr,-81327
13659.1,136,59.1,136prm,-80732
13660,136,60,136nd,-79199
13661,136,61,136pm,-71200
13661.1,136,61.1,136pmm,-71070
13662,136,62,136sm,-66811
13662.1,136,62.1,136smm,-64546
13663,136,63,136eu,-56260
13663.1,136,63.1,136eum,-56260
13664,136,64,136gd,-49050
13665,136,65,136tb,-35970
13750,137,50,137sn,-50310
13751,137,51,137sb,-60260
13752,137,52,137te,-69560
13753,137,53,137i,-76503
13754,137,54,137xe,-82379
13755,137,55,137cs,-86545.6
13756,137,56,137ba,-87721.2
13756.1,137,56.1,137bam,-87059.5
13757,137,57,137la,-87101
13758,137,58,137ce,-85879
13758.1,137,58.1,137cem,-85625
13759,137,59,137pr,-83177
13759.1,137,59.1,137prm,-82616
13760,137,60,137nd,-79580
13760.1,137,60.1,137ndm,-79061
13761,137,61,137pm,-74073
13761.1,137,61.1,137pmm,-73920
13762,137,62,137sm,-68030
13762.1,137,62.1,137smm,-67850
13763,137,63,137eu,-60020
13764,137,64,137gd,-51210
13765,137,65,137tb,-41000
13851,138,51,138sb,-55150
13852,138,52,138te,-65930
13853,138,53,138i,-72330
13854,138,54,138xe,-80150
13855,138,55,138cs,-82887
13855.1,138,55.1,138csm,-82807
13855.6,138,55.6,138csx,-82847
13856,138,56,138ba,-88261.6
13856.1,138,56.1,138bam,-86171.1
13857,138,57,138la,-86525
13857.1,138,57.1,138lam,-86452
13858,138,58,138ce,-87569
13858.1,138,58.1,138cem,-85440
13859,138,59,138pr,-83132
13859.1,138,59.1,138prm,-82783
13860,138,60,138nd,-82018
13860.1,138,60.1,138ndm,-78843
13861,138,61,138pm,-74940
13861.1,138,61.1,138pmm,-74911
13861.2,138,61.2,138pmn,non-exist
13862,138,62,138sm,-71498
13863,138,63,138eu,-61750
13864,138,64,138gd,-55780
13864.1,138,64.1,138gdm,-53550
13865,138,65,138tb,-43630
13866,138,66,138dy,-34940
13951,139,51,139sb,-50320
13952,139,52,139te,-60800
13953,139,53,139i,-68840
13954,139,54,139xe,-75644
13955,139,55,139cs,-80701
13956,139,56,139ba,-84913.7
13957,139,57,139la,-87231.4
13958,139,58,139ce,-86952
13958.1,139,58.1,139cem,-86198
13959,139,59,139pr,-84823
13960,139,60,139nd,-81992
13960.1,139,60.1,139ndm,-81761
13961,139,61,139pm,-77496
13961.1,139,61.1,139pmm,-77307
13962,139,62,139sm,-72380
13962.1,139,62.1,139smm,-71923
13963,139,63,139eu,-65398
13964,139,64,139gd,-57530
13964.1,139,64.1,139gdm,-57280
13965,139,65,139tb,-48170
13966,139,66,139dy,-37690
14052,140,52,140te,-56960
14053,140,53,140i,-64270
14054,140,54,140xe,-72990
14055,140,55,140cs,-77051
14056,140,56,140ba,-83271
14057,140,57,140la,-84321
14058,140,58,140ce,-88083.3
14058.1,140,58.1,140cem,-85975.5
14059,140,59,140pr,-84695
14059.1,140,59.1,140prm,-83932
14060,140,60,140nd,-84252
14060.1,140,60.1,140ndm,-82031
14061,140,61,140pm,-78210
14061.1,140,61.1,140pmm,-77783
14062,140,62,140sm,-75456
14063,140,63,140eu,-66990
14063.1,140,63.1,140eum,-66780
14064,140,64,140gd,-61782
14065,140,65,140tb,-50480
14066,140,66,140dy,-42840
14066.1,140,66.1,140dym,-40670
14067,140,67,140ho,-29310
14152,141,52,141te,-51560
14153,141,53,141i,-60520
14154,141,54,141xe,-68330
14155,141,55,141cs,-74477
14156,141,56,141ba,-79726
14157,141,57,141la,-82938
14158,141,58,141ce,-85440.1
14159,141,59,141pr,-86020.9
14160,141,60,141nd,-84198
14160.1,141,60.1,141ndm,-83441
14161,141,61,141pm,-80523
14161.1,141,61.1,141pmm,-79895
14162,141,62,141sm,-75939
14162.1,141,62.1,141smm,-75763
14163,141,63,141eu,-69927
14163.1,141,63.1,141eum,-69831
14164,141,64,141gd,-63224
14164.1,141,64.1,141gdm,-62846
14165,141,65,141tb,-54540
14165.1,141,65.1,141tbm,-54540
14166,141,66,141dy,-45320
14167,141,67,141ho,-34370
14167.1,141,67.1,141hom,-34300
14252,142,52,142te,-47430
14253,142,53,142i,-55720
14254,142,54,142xe,-65480
14255,142,55,142cs,-70515
14256,142,56,142ba,-77823
14257,142,57,142la,-80035
14258,142,58,142ce,-84538.5
14259,142,59,142pr,-83792.7
14259.1,142,59.1,142prm,-83789
14260,142,60,142nd,-85955.2
14261,142,61,142pm,-81157
14261.1,142,61.1,142pmm,-80274
14262,142,62,142sm,-78993
14263,142,63,142eu,-71320
14263.1,142,63.1,142eum,-70856
14264,142,64,142gd,-66960
14265,142,65,142tb,-57060
14265.1,142,65.1,142tbm,-56780
14266,142,66,142dy,-49960
14267,142,67,142ho,-37470
14353,143,53,143i,-51640
14354,143,54,143xe,-60450
14355,143,55,143cs,-67671
14356,143,56,143ba,-73936
14357,143,57,143la,-78187
14358,143,58,143ce,-81612
14359,143,59,143pr,-83073.5
14360,143,60,143nd,-84007.4
14361,143,61,143pm,-82966
14361.1,143,61.1,143pmm,-82006
14362,143,62,143sm,-79523
14362.1,143,62.1,143smm,-78769
14362.2,143,62.2,143smn,-76729
14363,143,63,143eu,-74242
14363.1,143,63.1,143eum,-73852
14364,143,64,143gd,-68230
14364.1,143,64.1,143gdm,-68080
14365,143,65,143tb,-60430
14365.1,143,65.1,143tbm,-60430
14366,143,66,143dy,-52320
14366.1,143,66.1,143dym,-52010
14367,143,67,143ho,-42280
14368,143,68,143er,-31350
14453,144,53,144i,-46580
14454,144,54,144xe,-57280
14455,144,55,144cs,-63270
14455.1,144,55.1,144csm,-62970
14456,144,56,144ba,-71769
14457,144,57,144la,-74890
14458,144,58,144ce,-80437
14459,144,59,144pr,-80756
14459.1,144,59.1,144prm,-80697
14460,144,60,144nd,-83753.2
14461,144,61,144pm,-81421
14461.1,144,61.1,144pmm,-80580
14461.2,144,61.2,144pmn,-72825
14462,144,62,144sm,-81972
14462.1,144,62.1,144smm,-79648.4
14463,144,63,144eu,-75622
14463.1,144,63.1,144eum,-74494
14464,144,64,144gd,-71760
14465,144,65,144tb,-62368
14465.1,144,65.1,144tbm,-61971
14465.2,144,65.2,144tbn,-61892
14465.3,144,65.3,144tbp,-61851
14466,144,66,144dy,-56580
14467,144,67,144ho,-45200
14468,144,68,144er,-36910
14554,145,54,145xe,-52100
14555,145,55,145cs,-60057
14556,145,56,145ba,-67410
14557,145,57,145la,-72990
14558,145,58,145ce,-77100
14559,145,59,145pr,-79632
14560,145,60,145nd,-81437.1
14561,145,61,145pm,-81274
14562,145,62,145sm,-80657.7
14562.1,145,62.1,145smm,-71871.5
14563,145,63,145eu,-77998
14563.1,145,63.1,145eum,-77282
14564,145,64,145gd,-72927
14564.1,145,64.1,145gdm,-72178
14565,145,65,145tb,-65880
14565.1,145,65.1,145tbm,-65880
14566,145,66,145dy,-58290
14566.1,145,66.1,145dym,-58170
14567,145,67,145ho,-49180
14567.1,145,67.1,145hom,-49080
14568,145,68,145er,-39690
14569,145,69,145tm,-27880
14654,146,54,146xe,-48670
14655,146,55,146cs,-55620
14656,146,56,146ba,-65000
14657,146,57,146la,-69120
14657.1,146,57.1,146lam,-68990
14658,146,58,146ce,-75680
14659,146,59,146pr,-76710
14660,146,60,146nd,-80931.1
14661,146,61,146pm,-79460
14662,146,62,146sm,-81002
14663,146,63,146eu,-77122
14663.1,146,63.1,146eum,-76456
14664,146,64,146gd,-76093
14665,146,65,146tb,-67770
14665.1,146,65.1,146tbm,-67620
14665.2,146,65.2,146tbn,-66840
14666,146,66,146dy,-62554
14666.1,146,66.1,146dym,-59618
14667,146,67,146ho,-51570
14668,146,68,146er,-44710
14669,146,69,146tm,-31280
14669.1,146,69.1,146tmm,-31200
14754,147,54,147xe,-43260
14755,147,55,147cs,-52020
14756,147,56,147ba,-60600
14757,147,57,147la,-66850
14758,147,58,147ce,-72030
14759,147,59,147pr,-75455
14760,147,60,147nd,-78151.9
14761,147,61,147pm,-79047.9
14762,147,62,147sm,-79272.1
14763,147,63,147eu,-77550
14764,147,64,147gd,-75363
14764.1,147,64.1,147gdm,-66775
14765,147,65,147tb,-70752
14765.1,147,65.1,147tbm,-70701
14766,147,66,147dy,-64188
14766.1,147,66.1,147dym,-63438
14767,147,67,147ho,-55837
14768,147,68,147er,-47050
14768.1,147,68.1,147erm,-46950
14769,147,69,147tm,-36370
14769.1,147,69.1,147tmm,-36300
14855,148,55,148cs,-47300
14856,148,56,148ba,-58010
14857,148,57,148la,-63130
14858,148,58,148ce,-70391
14859,148,59,148pr,-72531
14859.1,148,59.1,148prm,-72480
14860,148,60,148nd,-77413.4
14861,148,61,148pm,-76872
14861.1,148,61.1,148pmm,-76734
14862,148,62,148sm,-79342.2
14863,148,63,148eu,-76302
14864,148,64,148gd,-76275.8
14865,148,65,148tb,-70540
14865.1,148,65.1,148tbm,-70450
14865.2,148,65.2,148tbn,-61921
14866,148,66,148dy,-67859
14867,148,67,148ho,-58020
14867.1,148,67.1,148hom,-57620
14867.2,148,67.2,148hon,-57330
14868,148,68,148er,-51650
14869,148,69,148tm,-39270
14870,148,70,148yb,-30350
14955,149,55,149cs,-43850
14956,149,56,149ba,-53490
14957,149,57,149la,-60800
14958,149,58,149ce,-66700
14959,149,59,149pr,-71060
14960,149,60,149nd,-74380.9
14961,149,61,149pm,-76071
14961.1,149,61.1,149pmm,-75831
14962,149,62,149sm,-77141.9
14963,149,63,149eu,-76447
14964,149,64,149gd,-75133
14965,149,65,149tb,-71496
14965.1,149,65.1,149tbm,-71460
14966,149,66,149dy,-67715
14966.1,149,66.1,149dym,-65054
14966.2,149,66.2,149dyn,-60230
14967,149,67,149ho,-61688
14967.1,149,67.1,149hom,-61639
14968,149,68,149er,-53742
14968.1,149,68.1,149erm,-53000
14969,149,69,149tm,-44040
14970,149,70,149yb,-33500
15055,150,55,150cs,-38960
15056,150,56,150ba,-50600
15057,150,57,150la,-57040
15058,150,58,150ce,-64820
15059,150,59,150pr,-68304
15060,150,60,150nd,-73690
15061,150,61,150pm,-73603
15062,150,62,150sm,-77057.3
15063,150,63,150eu,-74797
15063.1,150,63.1,150eum,-74755
15064,150,64,150gd,-75769
15065,150,65,150tb,-71111
15065.1,150,65.1,150tbm,-70654
15066,150,66,150dy,-69317
15067,150,67,150ho,-61948
15067.1,150,67.1,150hom,-61960
15067.2,150,67.2,150hon,-61960
15068,150,68,150er,-57833
15069,150,69,150tm,-46610
15069.1,150,69.1,150tmm,-46470
15069.2,150,69.2,150tmn,-45800
15070,150,70,150yb,-38730
15071,150,71,150lu,-24940
15071.1,150,71.1,150lum,-24900
15155,151,55,151cs,-35220
15156,151,56,151ba,-45820
15157,151,57,151la,-54290
15158,151,58,151ce,-61500
15159,151,59,151pr,-66771
15160,151,60,151nd,-70953
15161,151,61,151pm,-73395
15162,151,62,151sm,-74582.5
15162.1,151,62.1,151smm,-74321.4
15163,151,63,151eu,-74659.1
15163.1,151,63.1,151eum,-74462.9
15164,151,64,151gd,-74195
15165,151,65,151tb,-71630
15165.1,151,65.1,151tbm,-71530
15166,151,66,151dy,-68759
15167,151,67,151ho,-63632
15167.1,151,67.1,151hom,-63591
15168,151,68,151er,-58266
15168.1,151,68.1,151erm,-55681
15169,151,69,151tm,-50782
15169.1,151,69.1,151tmm,-50690
15169.2,151,69.2,151tmn,-48126
15170,151,70,151yb,-41540
15170.1,151,70.1,151ybm,-40790
15170.2,151,70.2,151ybn,-39750
15170.3,151,70.3,151ybp,-39090
15171,151,71,151lu,-30200
15171.1,151,71.1,151lum,-30130
15256,152,56,152ba,-42600
15257,152,57,152la,-50070
15258,152,58,152ce,-59110
15259,152,59,152pr,-63810
15260,152,60,152nd,-70158
15261,152,61,152pm,-71262
15261.1,152,61.1,152pmm,-71120
15261.2,152,61.2,152pmn,-71010
15262,152,62,152sm,-74768.8
15263,152,63,152eu,-72894.5
15263.1,152,63.1,152eum,-72848.9
15263.2,152,63.2,152eun,-72746.6
15264,152,64,152gd,-74714.2
15265,152,65,152tb,-70720
15265.1,152,65.1,152tbm,-70220
15266,152,66,152dy,-70124
15267,152,67,152ho,-63608
15267.1,152,67.1,152hom,-63448
15267.2,152,67.2,152hon,-60588
15268,152,68,152er,-60500
15269,152,69,152tm,-51770
15269.1,152,69.1,152tmm,-51670
15270,152,70,152yb,-46310
15271,152,71,152lu,-33420
15356,153,56,153ba,-37620
15357,153,57,153la,-46930
15358,153,58,153ce,-55350
15359,153,59,153pr,-61630
15360,153,60,153nd,-67349
15361,153,61,153pm,-70685
15362,153,62,153sm,-72565.8
15362.1,153,62.1,153smm,-72467.4
15363,153,63,153eu,-73373.5
15364,153,64,153gd,-72889.8
15364.1,153,64.1,153gdm,-72794.6
15364.2,153,64.2,153gdn,-72718.6
15365,153,65,153tb,-71320
15365.1,153,65.1,153tbm,-71157
15366,153,66,153dy,-69150
15367,153,67,153ho,-65019
15367.1,153,67.1,153hom,-64950
15368,153,68,153er,-60488
15369,153,69,153tm,-54015
15369.1,153,69.1,153tmm,-53972
15370,153,70,153yb,-47060
15370.1,153,70.1,153ybm,-44360
15371,153,71,153lu,-38410
15371.1,153,71.1,153lum,-38330
15371.2,153,71.2,153lun,-35780
15372,153,72,153hf,-27300
15372.1,153,72.1,153hfm,-26550
15457,154,57,154la,-42380
15458,154,58,154ce,-52700
15459,154,59,154pr,-58200
15460,154,60,154nd,-65690
15460.1,154,60.1,154ndm,-65210
15460.2,154,60.2,154ndn,-64340
15461,154,61,154pm,-68500
15461.1,154,61.1,154pmm,-68380
15462,154,62,154sm,-72461.6
15463,154,63,154eu,-71744.4
15463.1,154,63.1,154eum,-71599.1
15464,154,64,154gd,-73713.2
15465,154,65,154tb,-70160
15465.1,154,65.1,154tbm,-70150
15465.2,154,65.2,154tbn,-69960
15466,154,66,154dy,-70398
15467,154,67,154ho,-64644
15467.1,154,67.1,154hom,-64406
15468,154,68,154er,-62612
15469,154,69,154tm,-54429
15469.1,154,69.1,154tmm,-54360
15470,154,70,154yb,-49934
15471,154,71,154lu,-39570
15471.1,154,71.1,154lum,-39510
15471.2,154,71.2,154lun,-37300
15472,154,72,154hf,-32730
15557,155,57,155la,-38800
15558,155,58,155ce,-48400
15559,155,59,155pr,-55780
15560,155,60,155nd,-62470
15561,155,61,155pm,-66970
15562,155,62,155sm,-70197.2
15563,155,63,155eu,-71824.5
15564,155,64,155gd,-72077.1
15564.1,155,64.1,155gdm,-71956.1
15565,155,65,155tb,-71254
15566,155,66,155dy,-69160
15566.1,155,66.1,155dym,-68926
15567,155,67,155ho,-66040
15567.1,155,67.1,155hom,-65898
15568,155,68,155er,-62215
15569,155,69,155tm,-56635
15569.1,155,69.1,155tmm,-56594
15570,155,70,155yb,-50503
15571,155,71,155lu,-42554
15571.1,155,71.1,155lum,-42534
15571.2,155,71.2,155lun,-40773
15572,155,72,155hf,-34100
15573,155,73,155ta,-23670
15658,156,58,156ce,-45400
15659,156,59,156pr,-51910
15660,156,60,156nd,-60530
15660.1,156,60.1,156ndm,-59100
15661,156,61,156pm,-64220
15662,156,62,156sm,-69370
15662.1,156,62.1,156smm,-67972
15663,156,63,156eu,-70093
15664,156,64,156gd,-72542.2
15664.1,156,64.1,156gdm,-70404.6
15665,156,65,156tb,-70098
15665.1,156,65.1,156tbm,-70044
15665.2,156,65.2,156tbn,-70010
15666,156,66,156dy,-70530
15667,156,67,156ho,-65350
15667.1,156,67.1,156hom,-65300
15667.2,156,67.2,156hon,-65250
15668,156,68,156er,-64213
15669,156,69,156tm,-56840
15669.1,156,69.1,156tmm,-56636
15669.2,156,69.2,156tmn,non-exist
15670,156,70,156yb,-53264
15671,156,71,156lu,-43750
15671.1,156,71.1,156lum,-43530
15672,156,72,156hf,-37850
15672.1,156,72.1,156hfm,-35890
15673,156,73,156ta,-25800
15673.1,156,73.1,156tam,-25700
15758,157,58,157ce,-40670
15759,157,59,157pr,-48970
15760,157,60,157nd,-56790
15761,157,61,157pm,-62370
15762,157,62,157sm,-66730
15763,157,63,157eu,-69467
15764,157,64,157gd,-70830.7
15765,157,65,157tb,-70770.6
15766,157,66,157dy,-69428
15766.1,157,66.1,157dym,-69229
15767,157,67,157ho,-66829
15768,157,68,157er,-63420
15768.1,157,68.1,157erm,-63265
15769,157,69,157tm,-58709
15770,157,70,157yb,-53442
15771,157,71,157lu,-46483
15771.1,157,71.1,157lum,-46462
15772,157,72,157hf,-38750
15773,157,73,157ta,-29630
15773.1,157,73.1,157tam,-29610
15773.2,157,73.2,157tan,-28040
15859,158,59,158pr,-44730
15860,158,60,158nd,-54400
15861,158,61,158pm,-59090
15862,158,62,158sm,-65210
15863,158,63,158eu,-67210
15864,158,64,158gd,-70696.8
15865,158,65,158tb,-69477.2
15865.1,158,65.1,158tbm,-69366.9
15865.2,158,65.2,158tbn,-69088.8
15866,158,66,158dy,-70412
15867,158,67,158ho,-66191
15867.1,158,67.1,158hom,-66124
15867.2,158,67.2,158hon,-66010
15868,158,68,158er,-65304
15869,158,69,158tm,-58703
15869.1,158,69.1,158tmm,-58650
15870,158,70,158yb,-56015
15871,158,71,158lu,-47214
15872,158,72,158hf,-42104
15873,158,73,158ta,-31020
15873.1,158,73.1,158tam,-30880
15874,158,74,158w,-23700
15874.1,158,74.1,158wm,-21810
15959,159,59,159pr,-41450
15960,159,60,159nd,-50220
15961,159,61,159pm,-56850
15962,159,62,159sm,-62210
15963,159,63,159eu,-66053
15964,159,64,159gd,-68568.5
15965,159,65,159tb,-69539
15966,159,66,159dy,-69173.5
15966.1,159,66.1,159dym,-68820.7
15967,159,67,159ho,-67336
15967.1,159,67.1,159hom,-67130
15968,159,68,159er,-64567
15968.1,159,68.1,159erm,-64384
15968.2,159,68.2,159ern,-64138
15969,159,69,159tm,-60570
15970,159,70,159yb,-55843
15971,159,71,159lu,-49710
15971.1,159,71.1,159lum,-49610
15972,159,72,159hf,-42854
15973,159,73,159ta,-34448
15973.1,159,73.1,159tam,-34385
15974,159,74,159w,-25230
16060,160,60,160nd,-47420
16061,160,61,160pm,-53100
16062,160,62,160sm,-60420
16063,160,63,160eu,-63370
16064,160,64,160gd,-67948.6
16065,160,65,160tb,-67842.9
16066,160,66,160dy,-69678.1
16067,160,67,160ho,-66388
16067.1,160,67.1,160hom,-66328
16067.2,160,67.2,160hon,-66191
16068,160,68,160er,-66058
16069,160,69,160tm,-60300
16069.1,160,69.1,160tmm,-60230
16070,160,70,160yb,-58170
16071,160,71,160lu,-50270
16071.1,160,71.1,160lum,-50270
16072,160,72,160hf,-45937
16073,160,73,160ta,-35880
16073.1,160,73.1,160tam,-35560
16074,160,74,160w,-29360
16075,160,75,160re,-16660
16160,161,60,161nd,-42960
16161,161,61,161pm,-50430
16162,161,62,161sm,-56980
16163,161,63,161eu,-61780
16164,161,64,161gd,-65512.7
16165,161,65,161tb,-67468.2
16166,161,66,161dy,-68061.1
16167,161,67,161ho,-67203
16167.1,161,67.1,161hom,-66992
16168,161,68,161er,-65209
16168.1,161,68.1,161erm,-64813
16169,161,69,161tm,-61899
16169.1,161,69.1,161tmm,-61892
16170,161,70,161yb,-57844
16171,161,71,161lu,-52562
16171.1,161,71.1,161lum,-52400
16172,161,72,161hf,-46319
16173,161,73,161ta,-38730
16173.1,161,73.1,161tam,-38684
16174,161,74,161w,-30410
16175,161,75,161re,-20880
16175.1,161,75.1,161rem,-20750
16261,162,61,162pm,-46310
16262,162,62,162sm,-54750
16263,162,63,162eu,-58650
16264,162,64,162gd,-64287
16265,162,65,162tb,-65680
16266,162,66,162dy,-68186.8
16267,162,67,162ho,-66047
16267.1,162,67.1,162hom,-65941
16268,162,68,162er,-66343
16269,162,69,162tm,-61484
16269.1,162,69.1,162tmm,-61350
16270,162,70,162yb,-59832
16271,162,71,162lu,-52840
16271.1,162,71.1,162lum,-52720
16271.2,162,71.2,162lun,-52540
16272,162,72,162hf,-49173
16273,162,73,162ta,-39780
16274,162,74,162w,-34002
16275,162,75,162re,-22350
16275.1,162,75.1,162rem,-22180
16276,162,76,162os,-14500
16361,163,61,163pm,-43150
16362,163,62,163sm,-50900
16363,163,63,163eu,-56630
16364,163,64,163gd,-61490
16365,163,65,163tb,-64601
16366,163,66,163dy,-66386.5
16367,163,67,163ho,-66383.9
16367.1,163,67.1,163hom,-66086
16368,163,68,163er,-65174
16368.1,163,68.1,163erm,-64729
16369,163,69,163tm,-62735
16370,163,70,163yb,-59304
16371,163,71,163lu,-54791
16372,163,72,163hf,-49286
16373,163,73,163ta,-42540
16374,163,74,163w,-34910
16375,163,75,163re,-26007
16375.1,163,75.1,163rem,-25892
16376,163,76,163os,-16120
16462,164,62,164sm,-48180
16463,164,63,164eu,-53100
16464,164,64,164gd,-59750
16465,164,65,164tb,-62080
16466,164,66,164dy,-65973.3
16467,164,67,164ho,-64987.1
16467.1,164,67.1,164hom,-64847.3
16468,164,68,164er,-65950
16469,164,69,164tm,-61888
16469.1,164,69.1,164tmm,-61878
16470,164,70,164yb,-61023
16471,164,71,164lu,-54642
16472,164,72,164hf,-51822
